source,target
340121125,11582761
340121125,23810143
340121125,76142574
340121125,95176713
340121125,99228440
340121125,137037837
340121125,154746387
340121125,155805141
340121125,172710559
340121125,178786625
340121125,181379424
340121125,185314822
340121125,199334366
340121125,207383715
340121125,209914889
340121125,212397580
340121125,216123065
340121125,219305476
340121125,228061240
340121125,228741614
340121125,229814797
340121125,232094840
340121125,236690140
340121125,238384014
340121125,240098981
340121125,240443780
340121125,243040657
340121125,244704883
340121125,248652763
340121125,250304008
340121125,252606151
340121125,255458851
340121125,256262373
340121125,257066830
340121125,257332093
340121125,258611275
340121125,258846989
340121125,260771135
340121125,271837575
340121125,275732451
340121125,277019335
340121125,282107618
340121125,282476961
340121125,282755017
340121125,285058343
340121125,294291839
340121125,299197852
340121125,299212322
340121125,300287042
340121125,315110195
340121125,316470083
340121125,317261115
340121125,318768118
340121125,320989644
340121125,321776183
340121125,322319926
340121125,323705571
340121125,326807134
340121125,326866301
340121125,334376173
340121125,335139497
340121125,335892490
340121125,342659670
340121125,344133220
340121125,358528631
340121125,383777387
340121125,386937989
340121125,401671432
340121125,411687051
340121125,413065387
340121125,419054284
340121125,422791187
340121125,447582384
340121125,455209110
340121125,460873762
340121125,465506973
340121125,466646163
340121125,487664621
340121125,488243736
340121125,495732185
340121125,500581964
340121125,538391105
340121125,539798041
340121125,540304869
340121125,543562586
340121125,549945399
340121125,558255592
340121125,560875125
340121125,566922501
340121125,645236264
340121125,662741463
340121125,665764935
340121125,690736214
340121125,818767368
340121125,824597061
11582761,15825
11582761,17106
11582761,18197
11582761,18971
11582761,20253
11582761,28005
11582761,52650
11582761,96319
11582761,130325
11582761,133906
11582761,136020
11582761,153683
11582761,242826
11582761,268677
11582761,275628
11582761,331879
11582761,335668
11582761,338764
11582761,345079
11582761,418523
11582761,431506
11582761,556308
11582761,582412
11582761,586663
11582761,637096
11582761,723032
11582761,740852
11582761,776978
11582761,839294
11582761,851971
11582761,897110
11582761,955676
11582761,961855
11582761,989450
11582761,1114483
11582761,1206691
11582761,1237653
11582761,1323589
11582761,1324349
11582761,1337337
11582761,1456975
11582761,1484145
11582761,1592169
11582761,1615867
11582761,1627364
11582761,1684276
11582761,1712524
11582761,1738120
11582761,1761090
11582761,1773575
11582761,1898381
11582761,1923405
11582761,1923908
11582761,1925074
11582761,1927719
11582761,1954281
11582761,1970765
11582761,1980659
11582761,2039187
11582761,2044310
11582761,2046640
11582761,2117166
11582761,2128687
11582761,2142379
11582761,2170017
11582761,2241196
11582761,2296753
11582761,2362691
11582761,2369400
11582761,2408942
11582761,2420820
11582761,2479241
11582761,2496276
11582761,2510801
11582761,2536434
11582761,2637816
11582761,2702158
11582761,2785562
11582761,2886272
11582761,2899864
11582761,2945750
11582761,3033304
11582761,3038458
11582761,3069796
11582761,3153160
11582761,3161547
11582761,3227020
11582761,3288037
11582761,3310236
11582761,3371409
11582761,3527210
11582761,3532027
11582761,3583226
11582761,3707070
11582761,3710013
11582761,3763850
11582761,3778522
11582761,3783369
11582761,3824664
11582761,3854434
11582761,3926482
11582761,3949532
11582761,3984814
11582761,4020979
11582761,4042279
11582761,4048125
11582761,4076962
11582761,4130542
11582761,4303210
11582761,4321388
11582761,4436894
11582761,4442988
11582761,4478649
11582761,4505581
11582761,4539805
11582761,4604717
11582761,4712253
11582761,4777065
11582761,4926963
11582761,4930917
11582761,4942392
11582761,4944518
11582761,5006763
11582761,5056293
11582761,5086048
11582761,5125373
11582761,5180813
11582761,5253815
11582761,5343507
11582761,5380806
11582761,5608987
11582761,5692212
11582761,5816526
11582761,5868897
11582761,5874413
11582761,5939722
11582761,5944335
11582761,5947932
11582761,6050083
11582761,6060557
11582761,6220611
11582761,6349823
11582761,6377510
11582761,6413945
11582761,6439792
11582761,6473732
11582761,6503086
11582761,6556287
11582761,6694089
11582761,6740024
11582761,6782220
11582761,6815445
11582761,6839954
11582761,6880109
11582761,6916540
11582761,7162825
11582761,7216958
11582761,7280499
11582761,7371048
11582761,7680057
11582761,7803582
11582761,7863642
11582761,7935434
11582761,8011754
11582761,8080511
11582761,8116023
11582761,8159876
11582761,8209386
11582761,8249101
11582761,8352188
11582761,8391825
11582761,8403023
11582761,8436831
11582761,8501788
11582761,8773712
11582761,8784286
11582761,8795184
11582761,8857710
11582761,8861387
11582761,8879586
11582761,8881048
11582761,9052256
11582761,9081177
11582761,9411179
11582761,9597760
11582761,9682268
11582761,9693139
11582761,9735346
11582761,9738512
11582761,9813467
11582761,10020380
11582761,10119491
11582761,10469767
11582761,10470189
11582761,10543002
11582761,10555329
11582761,10585841
11582761,10605429
11582761,11092852
11582761,11158813
11582761,11384544
11582761,11704519
11582761,11774628
11582761,11912027
11582761,12023231
11582761,12027738
11582761,12063201
11582761,12151539
11582761,12177427
11582761,12251812
11582761,12265439
11582761,12477819
11582761,12611179
11582761,12629899
11582761,12649762
11582761,12703159
11582761,12747390
11582761,12780025
11582761,12883389
11582761,12896736
11582761,13126527
11582761,13243999
11582761,13440362
11582761,13533156
11582761,13557286
11582761,13725565
11582761,13735001
11582761,13962511
11582761,13993382
11582761,14334631
11582761,14343255
11582761,14426517
11582761,14441100
11582761,15053806
11582761,15134839
11582761,15175982
11582761,15186334
11582761,15213887
11582761,15340552
11582761,15355222
11582761,15399924
11582761,15408149
11582761,15438685
11582761,15527134
11582761,15545073
11582761,15568917
11582761,15748878
11582761,15890465
11582761,15920840
11582761,15970828
11582761,16182259
11582761,16224853
11582761,16249496
11582761,16259012
11582761,16382808
11582761,16402850
11582761,16528214
11582761,16645218
11582761,16652258
11582761,16865489
11582761,17299266
11582761,17336208
11582761,17361268
11582761,17392823
11582761,17476977
11582761,17599058
11582761,17652441
11582761,17793943
11582761,17845694
11582761,18004358
11582761,18117867
11582761,18163908
11582761,18308820
11582761,18364224
11582761,18388872
11582761,18759853
11582761,18770511
11582761,18781885
11582761,18854038
11582761,19029241
11582761,19122324
11582761,19192674
11582761,19343986
11582761,19495157
11582761,19561818
11582761,19789952
11582761,19839128
11582761,19887393
11582761,19951779
11582761,20017335
11582761,20106761
11582761,20189200
11582761,20237956
11582761,20269922
11582761,20270999
11582761,20319853
11582761,20341211
11582761,20486847
11582761,20589417
11582761,20644238
11582761,20667525
11582761,20913625
11582761,21250575
11582761,21432467
11582761,21435914
11582761,21564611
11582761,22321908
11582761,22403260
11582761,22691152
11582761,22710136
11582761,23038034
11582761,23127193
11582761,23209937
11582761,23430272
11582761,23862001
11582761,23877333
11582761,24143623
11582761,24256417
11582761,24448068
11582761,24497993
11582761,25263801
11582761,25632689
11582761,25696907
11582761,25724955
11582761,25746871
11582761,25800881
11582761,26062834
11582761,26215348
11582761,26687367
11582761,27094555
11582761,27113418
11582761,27134722
11582761,27421750
11582761,27422497
11582761,27532127
11582761,27603571
11582761,27838658
11582761,28715732
11582761,28777671
11582761,29607259
11582761,29914729
11582761,30040028
11582761,30529133
11582761,30530429
11582761,30532728
11582761,31042835
11582761,31598317
11582761,31625658
11582761,31663292
11582761,32016486
11582761,32261896
11582761,32401876
11582761,32464809
11582761,32499874
11582761,32573280
11582761,33103923
11582761,33110234
11582761,33208855
11582761,33241692
11582761,33394522
11582761,33466092
11582761,33620091
11582761,33638114
11582761,33790794
11582761,34599706
11582761,34690881
11582761,35417463
11582761,35649318
11582761,35965382
11582761,35965617
11582761,36492872
11582761,36773948
11582761,36828357
11582761,37133786
11582761,37374142
11582761,37882971
11582761,38360716
11582761,38535140
11582761,38553478
11582761,38951610
11582761,38956357
11582761,39215996
11582761,39249797
11582761,39942531
11582761,40018042
11582761,40165014
11582761,40497543
11582761,40636424
11582761,41112794
11582761,41337460
11582761,41544828
11582761,41629130
11582761,41880650
11582761,42194146
11582761,42452316
11582761,42460822
11582761,42548659
11582761,43848984
11582761,43889191
11582761,43915231
11582761,44257000
11582761,44286036
11582761,44382912
11582761,44510185
11582761,44603604
11582761,44965836
11582761,45154295
11582761,45544473
11582761,46383007
11582761,47260460
11582761,47560074
11582761,47856141
11582761,48425138
11582761,48520774
11582761,48522900
11582761,49325548
11582761,49653017
11582761,49735122
11582761,49752038
11582761,50903951
11582761,51137904
11582761,51235713
11582761,51399390
11582761,51514054
11582761,51994917
11582761,52247040
11582761,52895578
11582761,53033069
11582761,53220513
11582761,53607541
11582761,53614779
11582761,53813016
11582761,54581683
11582761,54793934
11582761,55161336
11582761,55212319
11582761,55399096
11582761,55489739
11582761,55939511
11582761,56340127
11582761,57482525
11582761,57695945
11582761,57902509
11582761,58386093
11582761,59832215
11582761,60687856
11582761,60929114
11582761,61145862
11582761,62095649
11582761,62548391
11582761,62963001
11582761,63555030
11582761,64093220
11582761,64322710
11582761,64327459
11582761,64690089
11582761,64886190
11582761,65136056
11582761,65329232
11582761,65694333
11582761,65847488
11582761,65964691
11582761,66809842
11582761,67406164
11582761,68231846
11582761,68939250
11582761,68954482
11582761,69809062
11582761,69887868
11582761,72115988
11582761,72216711
11582761,72290232
11582761,72590829
11582761,73096717
11582761,73269928
11582761,73531801
11582761,75024453
11582761,75051023
11582761,75793749
11582761,76416125
11582761,76573032
11582761,77483496
11582761,78186961
11582761,78187307
11582761,78821533
11582761,78923196
11582761,81086185
11582761,81592509
11582761,81720590
11582761,81813937
11582761,82135107
11582761,82297606
11582761,82393459
11582761,83134474
11582761,83402648
11582761,83986291
11582761,84003989
11582761,84223331
11582761,84267582
11582761,85048080
11582761,85155051
11582761,85287978
11582761,85532884
11582761,85814399
11582761,87290585
11582761,87307385
11582761,88347059
11582761,89180579
11582761,89406086
11582761,89848936
11582761,91044278
11582761,91217063
11582761,91579243
11582761,92325168
11582761,92595935
11582761,93986077
11582761,94380612
11582761,94439239
11582761,95175350
11582761,95176713
11582761,95404039
11582761,96150376
11582761,96257014
11582761,96349640
11582761,96433774
11582761,96628446
11582761,96770210
11582761,98180487
11582761,98451666
11582761,98940125
11582761,99777923
11582761,99973973
11582761,100630418
11582761,101164722
11582761,101284000
11582761,101340075
11582761,101482318
11582761,102039797
11582761,102350691
11582761,102352316
11582761,102995728
11582761,103525564
11582761,103827446
11582761,104127318
11582761,104902306
11582761,106581744
11582761,107267137
11582761,108382122
11582761,108633181
11582761,109499568
11582761,111579153
11582761,111971243
11582761,112087897
11582761,113466536
11582761,114165240
11582761,114505974
11582761,114569788
11582761,114907211
11582761,115069396
11582761,115981509
11582761,117187972
11582761,118241974
11582761,118332295
11582761,121251423
11582761,121728523
11582761,125514257
11582761,125799438
11582761,127816965
11582761,128129487
11582761,128348965
11582761,130029290
11582761,131702338
11582761,131722720
11582761,132432795
11582761,132723518
11582761,132814184
11582761,133052000
11582761,133334127
11582761,133461308
11582761,133821410
11582761,133924893
11582761,133948808
11582761,134045356
11582761,134484954
11582761,134665346
11582761,134705087
11582761,134819190
11582761,135057363
11582761,135093731
11582761,135443553
11582761,135990718
11582761,136133458
11582761,136199013
11582761,136204145
11582761,136418540
11582761,136626609
11582761,136668270
11582761,136714252
11582761,136935723
11582761,137506134
11582761,138025609
11582761,138143042
11582761,138180529
11582761,138235107
11582761,138301854
11582761,138713554
11582761,138731540
11582761,138840258
11582761,139131211
11582761,139495446
11582761,140216171
11582761,140293852
11582761,140341806
11582761,140611475
11582761,141247968
11582761,141305114
